'CEST';'NCM/SH';'DESCRIÇÃO'
'10.011.00';'3921';'Cumeeira de plástico, mesmo reforçada com fibra de vidro'
'10.012.00';'3921';'Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos no CEST 10.010.00 e 10.011.00'
'10.013.00';'3922';'Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos'
'10.014.00';'3924';'Artefatos de higiene/toucador de plástico, para uso na construção'
'10.015.00';'3925.10.00';'Caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro'
'10.016.00';'3925.9';'Outras telhas, cumeeira e caixa d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro'
'10.017.00';'3925.10.00
3925.90';'Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 10.015.00 e 10.016.00'
'10.018.00';'3925.20.00';'Portas, janelas e seus caixilhos, alizares e soleiras'
'10.019.00';'3925.30.00';'Postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes'
'10.020.00';'3926.9';'Outras obras de plástico, para uso na construção'
'10.021.00';'4814';'Papel de parede e revestimentos de parede semelhantes; papel para vitrais'
'10.022.00';'6810.19.00';'Telhas de concreto'
'10.023.00';'6811';'Telha, cumeeira e caixa d’água, inclusive sua tampa, de fibrocimento, cimento-celulose'
'10.024.00';'6811';'Caixas d’água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto, exceto os descritos no CEST 10.023.00'
'10.024.00';'6811';'Caixas d’água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto, exceto os descritos no item 23.0'
'10.025.00';'6901.00.00';'Tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis (“kieselghur”, tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes'
'10.026.00';'6902';'Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para uso na construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes'
'10.027.00';'6904';'Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica'
'10.028.00';'6905';'Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para uso na construção'
'10.029.00';'6906.00.00';'Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica'
'10.030.00';'6907';'Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento'
'10.030.01';'6907';'Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte, exceto os descritos CEST 10.030.00'
'10.030.01';'6907';'Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte.'
'10.031.00';'6910';'Pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica'
'10.032.00';'6912.00.00';'Artefatos de higiene/toucador de cerâmica'
'10.033.00';'7003';'Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho'
'10.034.00';'7004';'Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho'
'10.035.00';'7005';'Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho'
'10.036.00';'7007.19.00';'Vidros temperados'
'10.037.00';'7007.29.00';'Vidros laminados'
'10.038.00';'7008';'Vidros isolantes de paredes múltiplas'
'10.039.00';'7016';'Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na construção; cubos, pastilhas e outros artigos semelhantes'
'10.040.00';'7214.20.00';'Barras próprias para construções, exceto vergalhões'
'10.041.00';'7308.90.10';'Outras barras próprias para construções, exceto vergalhões'
'10.042.00';'7214.20.00';'Vergalhões'
'10.043.00';'7213
7308.90.10';'Outros vergalhões'
'10.044.00';'7217.10.90
7312';'Fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos'
'10.045.00';'7217.20.10';'Outros fios de ferro ou aço, não ligados, galvanizados com teor de carbono superior ou igual a 0,6%, em peso'
'10.045.01';'7217.20.90';'Outros fios de ferro ou aço, não ligados, galvanizados'
'10.046.00';'7307';'Acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço'
'10.047.00';'7308.30.00';'Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço'
'10.048.00';'7308.40.00
7308.90';'Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço'
'10.049.00';'7308.40.00';'Treliças de aço'
'10.050.00';'7308.90.90';'Telhas metálicas'
'10.051.00';'7310';'Caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro fundido, ferro ou aço; próprias para a construção'
'10.052.00';'7313.00.00';'Arame farpado, de ferro ou aço, arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas'
'10.053.00';'7314';'Telas metálicas, grades e redes, de fios de ferro ou aço'
'10.054.00';'7315.11.00';'Correntes de rolos, de ferro fundido, ferro ou aço'
'10.055.00';'7315.12.90';'Outras correntes de elos articulados, de ferro fundido, ferro ou aço'
'10.056.00';'7315.82.00';'Correntes de elos soldados, de ferro fundido, de ferro ou aço'
'10.057.00';'7317';'Tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre'
'10.058.00';'7318';'Parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão) e artefatos semelhantes, de ferro fundido, ferro ou aço'
'10.059.00';'7323';'Palha de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00'
'10.059.01';'7323';'Esponjas, esfregões, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00'
'10.060.00';'7324';'Artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço, incluídas as pias, banheiras, lavatórios, cubas, mictórios, tanques e afins de ferro fundido, ferro ou aço, para uso na construção'
'10.061.00';'7325';'Outras obras moldadas, de ferro fundido, ferro ou aço, para uso na construção'
'10.062.00';'7326';'Abraçadeiras'
'10.063.00';'7407';'Barras de cobre'
'10.064.00';'7411.10.10';'Tubos de cobre e suas ligas, para instalações de água quente e gás, para uso na construção'
'10.065.00';'7412';'Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção'
'10.066.00';'7415';'Tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre'
'10.067.00';'7418.20.00';'Artefatos de higiene/toucador de cobre, para uso na construção'
'10.068.00';'7607.19.90';'Manta de subcobertura aluminizada'
'10.069.00';'7608';'Tubos de alumínio e suas ligas, para refrigeração e ar condicionado, para uso na construção'
'10.070.00';'7609.00.00';'Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção'
'10.071.00';'7610';'Construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406; chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções'
'10.072.00';'7615.20.00';'Artefatos de higiene/toucador de alumínio, para uso na construção'
'10.073.00';'7616';'Outras obras de alumínio, próprias para construções, incluídas as persianas'
'10.074.00';'8302.41.00
 ';'Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores.'
'10.075.00';'8301';'Fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns; exceto os de uso automotivo'
'10.076.00';'8302.10.00';'Dobradiças de metais comuns, de qualquer tipo'
'10.077.00';'8307';'Tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção'
'10.078.00';'8311';'Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção'
'10.079.00';'8481';'Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes'
'10.080.00';'7009';'Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo'
'11.001.00';'2828.90.11
2828.90.19
3206.41.00
3402.20.00
3808.94.19';'Água sanitária, branqueador e outros alvejantes'
'11.002.00';'3401.20.90';'Sabões em pó, flocos, palhetas, grânulos ou outras formas semelhantes, para lavar roupas'
'11.003.00';'3401.20.90';'Sabões líquidos para lavar roupas'
'11.004.00';'3402.20.00';'Detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes'
'11.005.00';'3402.20.00';'Detergentes líquidos, exceto para lavar roupa'
'11.006.00';'3402.20.00';'Detergente líquido para lavar roupa'
'11.007.00';'3402';'Outros agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos CEST 11.001.00, 11.004.00, 11.005.00 e 11.006.00; em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg'
'11.008.00';'3809.91.90';'Amaciante/suavizante'
'11.009.00';'3924.10.00
3924.90.00
6805.30.10
6805.30.90';'Esponjas para limpeza'
'11.010.00';'2207
2208.90.00';'Álcool etílico para limpeza'
'11.011.00';'7323.10.00';'Esponjas e palhas de aço; esponjas para limpeza, polimento ou uso semelhantes; todas de uso doméstico'
'11.012.00';'3923.2';'Sacos de lixo de conteúdo igual ou inferior a 100 litros'
;;
'12.001.00';'8504';'Transformadores, bobinas de reatância e de auto indução, inclusive os transformadores de potência superior a 16 KVA, classificados nas posições 8504.33.00 e 8504.34.00; exceto os demais transformadores da subposição 8504.3, os reatores para lâmpadas elétricas de descarga classificados no código 8504.10.00, os carregadores de acumuladores do código 8504.40.10, os equipamentos de alimentação ininterrupta de energia (UPS ou “no break”), no código 8504.40.40 e os de uso automotivo'
'12.002.00';'8516';'Aquecedores elétricos de água, incluídos os de imersão, chuveiros ou duchas elétricos, torneiras elétricas, resistências de aquecimento, inclusive as de duchas e chuveiros elétricos e suas partes; exceto outros fornos, fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, classificados na posição 8516.60.00'
'12.003.00';'8535';'Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, eliminadores de onda, tomadas de corrente e outros conectores, caixas de junção), para tensão superior a 1.000V, exceto os de uso automotivo'
'12.004.00';'8536';'Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, plugues e tomadas de corrente, suportes para lâmpadas e outros conectores, caixas de junção), para uma tensão não superior a 1.000V; conectores para fibras ópticas, feixes ou cabos de fibras ópticas; exceto “starter” classificado na subposição 8536.50 e os de uso automotivo'
'12.005.00';'8538';'Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 8535 e 8536'
'12.006.00';'7413.00.00';'Cabos, tranças e semelhantes, de cobre, não isolados para usos elétricos, exceto os de uso automotivo'
'12.007.00';'8544
7605
7614';'Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000V, para uso na construção; fios e cabos telefônicos e para transmissão de dados; cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão; cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos; exceto os de uso automotivo'
'12.008.00';'8546';'Isoladores de qualquer matéria, para usos elétricos'
'12.009.00';'8547';'Peças isolantes inteiramente de matérias isolantes, ou com simples peças metálicas de montagem (suportes roscados, por exemplo) incorporadas na massa, para máquinas, aparelhos e instalações elétricas; tubos isoladores e suas peças de ligação, de metais comuns, isolados interiormente'
'13.001.00';'3003
3004';'Medicamentos de referência - positiva, exceto para uso veterinário'
'13.001.01';'3003
3004';'Medicamentos de referência - negativa, exceto para uso veterinário'
'13.001.02';'3003
3004';'Medicamentos de referência - neutra, exceto para uso veterinário'
'13.002.00';'3003
3004';'Medicamentos genérico - positiva, exceto para uso veterinário'
'13.002.01';'3003
3004';'Medicamentos genérico - negativa, exceto para uso veterinário'
'13.002.02';'3003
3004';'Medicamentos genérico - neutra, exceto para uso veterinário'
'13.003.00';'3003
3004';'Medicamentos similar - positiva, exceto para uso veterinário'
'13.003.01';'3003
3004';'Medicamentos similar - negativa, exceto para uso veterinário'
'13.003.02';'3003
3004';'Medicamentos similar - neutra, exceto para uso veterinário'
'13.004.00';'3003
3004';'Outros tipos de medicamentos - positiva, exceto para uso veterinário'
'13.004.01';'3003
3004';'Outros tipos de medicamentos - negativa, exceto para uso veterinário'
'13.004.02';'3003
3004';'Outros tipos de medicamentos - neutra, exceto para uso veterinário'
'13.005.00';'3006.60.00';'Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - positiva'
'13.005.01';'3006.60.00';'Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - negativa'
'13.006.00';'2936';'Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções - neutra'
'13.007.00';'3006.3';'Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - positiva'
'13.007.01';'3006.3';'Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - negativa'
'13.008.00';'3002';'Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - positiva'
'13.008.01';'3002';'Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - negativa'
'13.009.00';'3002';'Vacinas e produtos semelhantes, exceto para uso veterinário - positiva;'
'13.009.01';'3002';'Vacinas e produtos semelhantes, exceto para uso veterinário - negativa;'
'13.010.00';'3005.10.10';'Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Positiva'
'13.010.01';'3005.10.10';'Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Negativa'
'13.011.00';'3005';'Algodão, atadura, esparadrapo, gazes, pensos, sinapismos, e outros, acondicionados para venda a retalho para usos medicinais, cirúrgicos ou dentários, não impregnados ou recobertos de substâncias farmacêuticas - Lista Neutra'
'13.012.00';'4015.11.00
4015.19.00';'Luvas cirúrgicas e luvas de procedimento - neutra'
'13.013.00';'4014.10.00';'Preservativo – neutra'
'13.014.00';'9018.31';'Seringas, mesmo com agulhas - neutra'
'13.015.00';'9018.32.1';'Agulhas para seringas - neutra'
'13.016.00';'3926.90.90
9018.90.99';'Contraceptivos (dispositivos intrauterinos - DIU) - neutra'
;;
'14.001.00';'7013';'Objetos de vidro para serviço de mesa ou de cozinha'
'14.002.00';'7013.37.00';'Outros copos, exceto de vitrocerâmica'
'14.003.00';'7013.42.90';'Objetos para serviço de mesa (exceto copos) ou de cozinha, exceto de vitrocerâmica'
'14.004.00';'3919
3920
3921';'Lonas plásticas, exceto as para uso na construção'
'14.005.00';'3924';'Artefatos de higiene/toucador de plástico, exceto os para uso na construção'
'14.006.00';'3924.10.00';'Serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, não descartáveis'
'14.006.00';'3924.10.00';'Serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, inclusive os descartáveis'
'14.006.01';'3924.10.00';'Serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, descartáveis'
'14.007.00';'6911.10.10';'Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis – estojos'
'14.008.00';'6911.10.90';'Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis – avulsos'
'14.009.00';'6912.00.00';'Artigos para serviço de mesa ou de cozinha, de cerâmica'
'14.010.00';'6912.00.00';'Velas para filtros'
'14.011.00';'4823.20.9';'Filtros descartáveis para coar café ou chá'
'14.012.00';'4823.6';'Bandejas, travessas, pratos, xícaras ou chávenas, taças, copos e artigos semelhantes, de papel ou cartão'
'14.013.00';'4813.10.00';'Papel para cigarro'
'16.001.00';'4011.10.00';'Pneus novos, dos tipos utilizados em automóveis de passageiros (incluídos os veículos de uso misto - camionetas e os automóveis de corrida)'
'16.002.00';'4011';'Pneus novos, dos tipos utilizados em caminhões (inclusive para os fora-de-estrada), ônibus, aviões, máquinas de terraplenagem, de construção e conservação de estradas, máquinas e tratores agrícolas, pá-carregadeira'
'16.003.00';'4011.40.00';'Pneus novos para motocicletas'
'16.004.00';'4011';'Outros tipos de pneus novos, exceto os itens classificados no CEST 16.005.00'
'16.005.00';'4011.50.00';'Pneus novos de borracha dos tipos utilizados em bicicletas'
'16.006.00';'4012.1';'Pneus recauchutados'
'16.007.00';'4012.9';'Protetores de borracha, exceto os itens classificados no CEST 16.007.01'
'16.007.01';'4012.9';'Protetores de borracha para bicicletas'
'16.008.00';'4013';'Câmaras de ar de borracha, exceto os itens classificados no CEST 16.009.00'
'16.009.00';'4013.20.00';'Câmaras de ar de borracha dos tipos utilizados em bicicletas'
'17.001.00';'1704.90.10';'Chocolate branco, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os ovos de páscoa de chocolate.'
'17.002.00';'1806.31.10
1806.31.20';'Chocolates contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg'
'17.003.00';'1806.32.10
1806.32.20';'Chocolate em barras, tabletes ou blocos ou no estado líquido, em pasta, em pó, grânulos ou formas semelhantes, em recipientes ou embalagens imediatas de conteúdo inferior ou igual a 2 kg'
'17.004.00';'1806.90.00';'Chocolates e outras preparações alimentícias contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os achocolatados em pó e ovos de páscoa de chocolate.'
'17.005.00';'1704.90.10';'Ovos de páscoa de chocolate branco'
'17.005.01';'1806.90.00';'Ovos de páscoa de chocolate'
'17.006.00';'1806.90.00';'Achocolatados em pó, em embalagens de conteúdo inferior ou igual a 1 kg, exceto os classificados no CEST 17.006.02'
'17.006.01';'1806.10.00';'Cacau em pó, com adição de açúcar ou de outros edulcorantes, em embalagens de conteúdo inferior ou igual a 1kg'
'17.006.02';'1806.90.00';'Achocolatados em pó, em cápsulas'
'17.007.00';'1806.90.00';'Caixas de bombons contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg'
'17.008.00';'1704.90.90';'Bombons, inclusive à base de chocolate branco sem cacau'
'17.009.00';'1806.90.00';'Bombons, balas, caramelos, confeitos, pastilhas e outros produtos de confeitaria, contendo cacau'
'17.010.00';'2009';'Sucos de frutas ou de produtos hortícolas; mistura de sucos'
'17.011.00';'2009.8';'Água de coco'
'17.012.00';'0402.1
0402.2
0402.9';'Leite em pó, blocos ou grânulos, exceto creme de leite'
'17.013.00';'1901.10.20';'Farinha láctea'
'17.014.00';'1901.10.10';'Leite modificado para alimentação de crianças'
'17.015.00';'1901.10.90
1901.10.30';'Preparações para alimentação infantil à base de farinhas, grumos, sêmolas ou amidos e outros'
'17.016.00';'0401.10.10
0401.20.10';'Leite “longa vida” (UHT - “Ultra High Temperature”), em recipiente de conteúdo inferior ou igual a 2 litros'
'17.016.01';'0401.10.10
0401.20.10';'Leite “longa vida” (UHT - “Ultra High Temperature”), em recipiente de conteúdo superior a 2 litros e inferior ou igual a 5 litros'
'17.017.00';'0401.40.10
0401.50.10';'Leite em recipiente de conteúdo inferior ou igual a 1 litro'
'17.017.01';'0401.40.10
0401.50.10';'Leite em recipiente de conteúdo superior a 1 litro e inferior ou igual a 5 litros'
'17.018.00';'0401.10.90
0401.20.90';'Leite do tipo pasteurizado em recipiente de conteúdo inferior ou igual a 1 litro'
'17.018.01';'0401.10.90
0401.20.90';'Leite do tipo pasteurizado em recipiente de conteúdo superior a 1 litro e inferior ou igual a 5 litros'
'17.019.00';'0401.40.2
0402.21.30
0402.29.30
0402.9';'Creme de leite, em recipiente de conteúdo inferior ou igual a 1 kg
 
 '
'17.019.01';'0401.40.2
0402.21.30
0402.29.30
0402.9';'Creme de leite, em recipiente de conteúdo superior a 1 kg'
'17.019.02';'0401.10
0401.20
0401.50
0402.10
0402.29.20';'Outros cremes de leite, em recipiente de conteúdo inferior ou igual a 1kg'
'17.020.00';'402.9';'Leite condensado, em recipiente de conteúdo inferior ou igual a 1 kg'
'17.020.01';'402.9';'Leite condensado, em recipiente de conteúdo superior a 1 kg'
'17.021.00';'403';'Iogurte e leite fermentado em recipiente de conteúdo inferior ou igual a 2 litros'
'17.021.01';'403';'Iogurte e leite fermentado em recipiente de conteúdo superior a 2 litros'
'17.022.00';'0403.90.00';'Coalhada'
'17.023.00';'406';'Requeijão e similares, em recipiente de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.023.01';'406';'Requeijão e similares, em recipiente de conteúdo superior a 1 kg'
'17.024.00';'406';'Queijos, exceto os dos CEST 17.024.01, 17.024.02, 17.024.03 e 17.024.04'
'17.024.01';'0406.10.10';'Queijo muçarela'
'17.024.02';'0406.10.90';'Queijo minas frescal'
'17.024.03';'0406.10.90';'Queijo ricota'
'17.024.04';'0406.10.90';'Queijo petit suisse'
'17.025.00';'0405.10.00';'Manteiga, em embalagem de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.025.01';'0405.10.00';'Manteiga, em embalagem de conteúdo superior a 1 kg'
'17.025.02';'0405.90.90';'Manteiga de garrafa'
'17.026.00';'1517.10.00';'Margarina e creme vegetal em recipiente de conteúdo inferior ou igual a 500 g, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.027.00';'1517.10.00';'Margarina e creme vegetal, em recipiente de conteúdo superior a 500 g e inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.027.01';'1517.10.00';'Margarina e creme vegetal, em recipiente de conteúdo superior a 1 kg'
'17.027.02';'1517.9';'Outras margarinas e cremes vegetais em recipiente de conteúdo inferior a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.028.00';'1516.20.00';'Gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo, em recipiente de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.028.01';'1516.20.00';'Gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo, em recipiente de conteúdo superior a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g'
'17.029.00';'1901.90.20';'Doces de leite'
'17.030.00';'1904.10.00
1904.90.00';'Produtos à base de cereais, obtidos por expansão ou torrefação'
'17.031.00';'1905.90.90';'Salgadinhos diversos'
'17.032.00';'2005.20.00
2005.9';'Batata frita, inhame e mandioca fritos'
'17.033.00';'2008.1';'Amendoim e castanhas tipo aperitivo, em embalagem de conteúdo inferior ou igual a 1 kg'
'17.033.01';'2008.1';'Amendoim e castanhas tipo aperitivo, em embalagem de conteúdo superior a 1 kg'
'17.034.00';'2103.20.10';'Catchup em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g'
'17.035.00';'2103.90.21
2103.90.91';'Condimentos e temperos compostos, incluindo molho de pimenta e outros molhos, em embalagens imediatas de conteúdo inferior ou igual a 1 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 3 g'
'17.036.00';'2103.10.10';'Molhos de soja preparados em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g'
'17.037.00';'2103.30.10';'Farinha de mostarda em embalagens de conteúdo inferior ou igual a 1 kg'
'17.038.00';'2103.30.21';'Mostarda preparada em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g'
'17.039.00';'2103.90.11';'Maionese em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g'
'17.040.00';'2002';'Tomates preparados ou conservados, exceto em vinagre ou em ácido acético, em embalagens de conteúdo inferior ou igual a 1 kg'
'17.041.00';'2103.20.10';'Molhos de tomate em embalagens imediatas de conteúdo inferior ou igual a 1 kg'
'17.042.00';'1704.90.90
1904.20.00
1904.90.00';'Barra de cereais'
'17.043.00';'1806.31.20
1806.32.20
1806.90.00';'Barra de cereais contendo cacau'
'17.044.00';'1101.00.10';'Farinha de trigo especial, em embalagem inferior ou igual a 1 kg'
'17.044.01';'1101.00.10';'Farinha de trigo especial, em embalagem superior a 1 kg e inferior a 5 kg'
'17.044.02';'1101.00.10';'Farinha de trigo especial, em embalagem igual a 5 kg'
'17.044.03';'1101.00.10';'Farinha de trigo especial, em embalagem superior a 5 kg e inferior ou igual a 25 kg'
'17.044.04';'1101.00.10';'Farinha de trigo especial, em embalagem superior a 25 kg e inferior ou igual a 50 kg'
'17.044.05';'1101.00.10';'Farinha de trigo comum, em embalagem igual a 5 kg'
'17.044.06';'1101.00.10';'Farinha de trigo comum, em embalagem superior a 5 kg e inferior ou igual a 25 kg'
'17.044.07';'1101.00.10';'Farinha de trigo comum, em embalagem superior a 25 kg e inferior ou igual a 50 kg'
'17.044.08';'1101.00.10';'Farinha de trigo doméstica especial, em embalagem superior a 5 kg e inferior e igual a 10 kg'
'17.044.09';'1101.00.10';'Farinha de trigo doméstica com fermento, em embalagem superior a 5 kg e inferior e igual a 10 kg'
'17.044.10';'1101.00.10';'Farinha de trigo especial, em embalagem superior a 50 Kg'
'17.044.11';'1101.00.10';'Farinha de trigo comum, em embalagem inferior ou igual a 1 kg'
'17.044.12';'1101.00.10';'Farinha de trigo comum, em embalagem superior a 1 kg e inferior a 5 Kg'
'17.044.13';'1101.00.10';'Farinha de trigo comum, em embalagem superior a 50 kg'
